sound,label
[ 6 -1  1 ...  6  3  0],0
[ 16  -1 -33 ... -34 -25  15],5
[   0 -256 -256 ... -512 -256 -512],3
[-16 -16 -11 ...  -5  -3  -4],1
[ 317 -280  122 ... -412 -424 -356],7
[ 12   6  14 ... -50 -28 -21],9
[ -7  10  11 ...  -1  -2 -11],9
[-256    0 -256 ... -256 -256 -256],8
[ 4  5  3 ... 21 21 22],7
[-904  440  -49 ...  333  295  306],3
[-512 -768 -512 ... -256    0 -256],9
[ 14  10  16 ...   8  -4 -18],2
[1488 3115 2263 ... -393 -434 -442],3
[ 49  55 -10 ...  11  12  -2],2
[-13 -11 -22 ...  -1  -5 -13],3
[ 397  531  638 ... -357 -386 -353],0
[-14   4 -11 ...   2   7  -5],9
[   0    0    0 ...    0 -256    0],4
[ -6  -1   0 ...  11 -17   1],8
[-16   2   6 ... -23 -12  -8],7
[ -4 -19  -5 ... -14 -18 -23],8
[ 43  76 -84 ... -16   2  59],4
[ 51 -23  -9 ...  -9   5  -3],9
[ 1041  1219  1333 ... -1633 -1609 -1729],9
[  6   3 -20 ...   1   1   6],3
[-2 10 -1 ...  1  6  2],7
[ -97 -112 -153 ...    7   20   15],9
[  8  20  74 ... -45  40  -2],3
[-311 -340 -361 ...  310  321  320],1
[-512 -256 -512 ... -256 -256 -512],2
[   0    0    0 ... -256 -256 -256],2
[-86 201  19 ...  -1  -3  -3],0
[ 111   93  111 ... -202 -224 -127],1
[ 8  3 -5 ...  1 -2 -3],0
[-7 -7 -6 ...  1 -4 -8],1
[ -43   60   39 ... -240 -236  -82],0
[-256    0 -256 ... -512 -256 -512],4
[-2644 -2458 -1879 ...   122    70    33],4
[-1 17  8 ... 17 14  4],0
[-2 -5  0 ... 27 26 21],1
[ 10   1  13 ...  -9 -13 -13],0
[-2 -7  4 ... 17 12  3],3
[-256 -256 -256 ... -512    0 -256],5
[  7   4   1 ... -31 -38  -7],2
[-768 -256 -256 ...    0 -256    0],5
[  2  -8  -4 ... -12  -8 -10],8
[-4 -6  3 ... 15  6  7],2
[-31 -28  19 ...  -6 134   1],8
[-22  10  -9 ...   6   1  15],7
[-256    0    0 ... -256 -512 -256],5
[ 4 -5  4 ...  9  3 15],4
[-34 142 -78 ... -56  -4  61],4
[-10 -12 -10 ...   5   0  13],0
[ -63   38  -66 ... -198 -173 -136],4
[-301 -301 -302 ... -387 -347 -305],9
[ 383  520  541 ... -142 -210 -302],4
[   0 -512 -256 ... -256 -256    0],3
[ 5 12 13 ... -5 -2 16],3
[-256    0    0 ... -256 -256 -256],5
[ 376  -49  -77 ... -322 -332 -341],4
[ -5  -3   3 ...  -4 -28 -10],8
[ 0 -2 -3 ... 31 23 48],8
[ 17  -7  -8 ...  10 -15  -7],8
[-330  250  -16 ... -330 -327 -313],7
[   0 -256 -512 ... -256 -512 -256],5
[ 256  512  256 ... -512 -256 -512],9
[-356  -14  242 ... -254 -295 -301],3
[-12 -14 -11 ...   1   8  19],8
[-103  -39   21 ...  -11  -36   -5],8
[ -603  -887 -1233 ...   194   311   416],4
[-4 17 17 ...  4  2 21],9
[  6 -21 -16 ...   5  13  -4],6
[ 148   43  -12 ... -112 -145 -110],7
[-57 -59 -57 ...   4  -5 -25],8
[ 78  97 114 ...  -7  21  21],9
[-26 -34 -41 ...  -9 -12  -5],1
[-13 -13  -7 ...  23  16  -1],0
[  11   -1   18 ... -138 -113 -122],0
[-11 -20 -21 ...  26   4  24],3
[-11   0 -12 ... -33 -26  -9],2
[  2   3   1 ... -14  -9 -11],1
[-8 -4 -5 ... -6  3  3],0
[-16  24   1 ...  47  21  24],0
[  1 -10  -2 ...  -4 -13 -15],0
[-25 -16 -14 ...   3  -9 -15],2
[ -38  -25   17 ... -196 -174 -226],2
[-535 -675 -619 ...   24   69 -316],8
[-23 -11  24 ...  11 -37  25],6
[4522 5151 1454 ...   20   59   51],5
[-126   17   49 ...    1  -78  -35],8
[-390 -639 -797 ...  267  257  334],4
[-2  3  5 ... -7  6 10],4
[-9 -8  0 ... -4  2 16],3
[-256 -512 -256 ...    0    0    0],0
[ 308  433  427 ... -274 -303 -310],5
[ -7 -22   0 ...   5   0   4],1
[-512 -768 -768 ...    0 -256 -256],4
[-256 -256 -256 ... -256 -256 -256],8
[ 349  431  439 ... -101  -44 -410],8
[   0  -19   27 ...  -80 -162 -249],0
[-1024 -1536  -512 ...  -256  -256  -256],8
[-9 -7 -5 ... -5 -1 -7],5
[15 19 13 ...  9 10  9],9
[ 36 -37  41 ... -49  66 -25],8
[-29 -21 -16 ...  -2 -12   9],5
[-478 -313  -29 ... -448 -389 -313],3
[283 271 225 ... -12 -21 -20],9
[-256 -256 -512 ... -768 -768 -768],3
[ 34 336  58 ...  -2 127 169],5
[15 14  5 ...  7  8  6],5
[-256 -256 -512 ... -256    0 -256],2
[ -4 -25 -71 ...  17   8  12],3
[   0    0 -256 ... -256 -256 -256],5
[-202 -113  713 ...  -20   -6   18],7
[-7 -8 -6 ...  0  0  2],1
[21 19 18 ...  9 12 15],0
[-368 -526  -45 ... -348 -337 -319],4
[  1   3  27 ... -44  -6   0],8
[-25   3 -30 ...  -6  14  56],4
[ 14  67   7 ...  14  23 -22],4
[  3   0   1 ... -26 -14  -9],6
[ 14  15  10 ...   5  -1 -10],0
[339 349 335 ...  95 255 303],4
[ -508 -1099 -1682 ...  -411  -445  -319],4
[-40 -30   7 ... -22 148  16],8
[-349  337 -207 ... -389 -383 -322],7
[  9  -5  -8 ... -12  -7  -2],2
[ 0  1 -4 ...  2 -8  7],2
[   0    0    0 ... -512 -256 -512],3
[ 8  6  9 ... -1  6 -4],1
[12 17 12 ... 13 14 10],8
[  3  -2   5 ...  12   7 -57],8
[ 23 -47 -41 ... 124 139 156],5
[ 5  8  2 ... 16 13 17],5
[ 304  323  258 ... -263 -314 -410],1
[-206  165 -564 ...  -77   35 -171],8
[   0 -256    0 ... -256    0 -256],9
[-768 -768 -768 ... -768 -512 -768],0
[ 19   5 -21 ...  12  33  10],3
[-15 -19 -17 ...   2   7   6],1
[-25 -34 -41 ...  32  10 -30],0
[-2  0 -2 ... 16 17 -6],6
[ -5  -9 -10 ...  -2   9  -1],3
[301 279 192 ... 306 332 316],7
[-1 -1 -1 ... -4  3  4],1
[-23  12 -23 ...  43  35  36],7
[-21  -9 -16 ...  19  15  10],3
[ 12  -3 -13 ... -10 -31 -31],4
[-789  783 -120 ... -260 -300 -302],3
[ 142 -107   80 ...  147  130   90],7
[  3  -3  -8 ... -10  -5  -6],8
[-6 -2 -4 ... -7 -1 -1],2
[-394 -280 -117 ... -279 -282 -305],7
[   0  256    0 ... -512 -256 -512],9
[ 7 15 21 ...  0  4 -6],3
[  9  -7  -6 ...   2   8 -11],5
[ -7  -8  -1 ... -14  -8 -11],3
[-3 -1 -3 ... 19 10  5],2
[ 18  15  11 ...   4 -10  -5],0
[-256 -512 -256 ... -256    0    0],5
[-256 -256 -512 ... -256    0    0],1
[-10   7  -3 ...  -3  10 -13],6
[4101 8911 4061 ...  -84   -7   87],5
[-326 -362 -376 ... -315 -321 -316],0
[-19 -23 -27 ...  -4  -9 -14],9
[319 417 565 ...  95 111 330],5
[-1 -9  1 ...  9  7 12],3
[-170  134 -359 ...  -28 -173 -163],8
[  2  -1 -25 ...  14 -46  25],6
[-8776 -5965 -3477 ...   -66  -107   -33],8
[-33 -18  34 ... -30 -27 -13],7
[ 2 -6  5 ... -5  6 -2],3
[-12  -6  -8 ...  -7  -2   0],9
[69 59 38 ...  6 -1 -9],6
[ -52  145 -238 ...  176  169 -148],6
[  10  132  -51 ... -136  105  -78],6
[ 310  339  351 ... -327 -351 -311],0
[45 49 48 ... 29 25 47],9
[   0 -256 -256 ...    0    0 -512],6
[  0   0   0 ... -13   1   1],8
[  9 -19 -15 ...  13  14 -24],6
[   0    0 -256 ... -512 -256 -256],3
[8 5 7 ... 3 6 2],1
[ 204   88 -190 ...  126   67    6],3
[ 5 -2 18 ...  3  9 -1],4
[-310 -377 -502 ...  294  351  323],0
[   0  256 -256 ... -256  256    0],1
[-331 -107   -3 ... -460 -433 -367],5
[-8  1  0 ... 28 43 29],4
[-4  1 14 ...  0 -9 -1],4
[342 402 428 ... 393 374 310],4
[-1 -2  2 ...  2  1  0],8
[  98  111   77 ...  -98 -109  -10],3
[-4  0 -4 ... -7  0 -2],8
[-1280 -1280 -1536 ...  -768  -512  -512],0
[ 1  4 -2 ...  6 12 20],2
[ -4  -3   9 ...   9  -8 -34],2
[-120   51 -168 ...  230  -81  265],6
[-910  691  254 ...  482  420  338],3
[  1   3   5 ...  35 -42 -48],8
[-3  3 -9 ... 22 20  6],6
[ 312 -333  368 ... -263 -248 -350],7
[ -26 -119  144 ...   37  -50  -79],5
[-309 -385 -459 ...  363  364  306],0
[  2 -58 -38 ...  24  10  21],7
[-1067   703  -159 ...  -185  -275  -304],2
[302 502 556 ...  22 276 362],4
[-15  -7 -22 ...   1   4  17],0
[-309 -232  282 ... -318 -248 -303],3
[  4   6  10 ... -10  -8  -5],9
[ 251  394  476 ...  114   65 -159],8
[ 359  263  238 ... -241 -293 -367],5
[-6  8 -4 ... 13 14 31],2
[-1526   -22  -731 ...  -176   -49  -303],8
[ 0 -4  0 ...  9  3  5],9
[   0 -256 -256 ... -256    0 -256],3
[20 -2  8 ... 18 17  6],5
[ 13   9  30 ... 105  92  79],2
[ 8 20  0 ... 12 18 -4],0
[-18 -16 -16 ...  20   8   9],1
[17 12 27 ...  4 13 -4],8
[ -2  -3  -6 ... -17  -5   1],4
[   0 -256    0 ...    0 -256    0],3
[  76   38 -315 ...  100  136   57],8
[ 18 -29  30 ...  97  90  58],5
[  3 -18 -15 ...  -8 -21 -12],0
[ 75 482 -33 ...  11 -15   6],0
[   0    0    0 ... -256 -512 -256],4
[ 6 12 15 ...  4 -7 -1],0
[-38 -38 -44 ...  21  44  43],0
[-256 -256 -256 ...    0 -256 -256],2
[ 40 -25  38 ...  43   5 -15],3
[-307 -334 -336 ...  354  328  312],0
[  4  -3   3 ... -24 -15   2],1
[ 35 -21 -11 ... -16 -25 -21],3
[-167    4  -62 ...   -3  -85 -151],6
[-2494 -2518 -2557 ...   -29  -100  -132],2
[-12   4 -11 ...   0   6  -9],6
[-1 -5 11 ... -2  0 -6],8
[ -3 -11 -59 ...  56  45  15],7
[-12  -7   7 ...  16  19   2],3
[ 3  6  3 ... -5 -3 -2],1
[-30 -15  -3 ... -20  10  15],7
[  5 -22 -11 ...   9  -1 -16],8
[11  4 -5 ... -3  6  5],6
[-303  195  -43 ... -267 -344 -344],4
[-256 -256    0 ... -512 -256 -512],3
[-8  4  4 ... 10  8  2],1
[ 160 -490   73 ...   57   26 -156],8
[   0 -256    0 ... -512 -256 -256],3
[ 15 -13  50 ...  -3  13   8],6
[ -486  -780 -1056 ...   257   405   398],5
[21  4 -9 ...  8 21 26],5
[ -17  -31  -24 ...   64 -132   61],6
[-28   2  -3 ... 175 158 125],2
[-256 -512 -256 ... -512 -256 -256],2
[ -1  10   0 ... -11 -10  -7],0
[-20  17 -36 ...  30  66  99],2
[-320 -424 -527 ...  354  344  306],1
[ 17  10  -1 ...  15   1 -16],4
[ 1 -2  6 ...  4 27 30],2
[   0    0    0 ...    0 -256    0],1
[-256    0 -256 ... -256    0 -256],7
[ 512  512  512 ...    0 -256    0],1
[ -512     0 -1024 ...  -256  -512  -256],3
[-522 -461  451 ...   66  -90 -301],5
[-6  8  3 ... -4 -1 -5],6
[-61 -57 -50 ...  -8   4  -5],9
[40 38 17 ... 22 17 20],6
[ 512  256  256 ... -512    0 -256],5
[ -54 -112  153 ...  110  114   71],4
[-582 -504  403 ...  369  382  345],3
[ 17 -32   4 ...  41   3 -26],4
[-328 -401 -471 ... -213 -274 -360],0
[ 19   2  -6 ... -18 -13 -11],3
[ 2  8 -2 ...  0  1 -6],9
[-256    0 -256 ... -256    0 -256],8
[  10   -1 -100 ...   -3  -13  -32],5
[454 139 171 ... 318 333 345],5
[-393   54  -71 ...  319  340  313],0
[ 92 -25  33 ... 105  38  81],7
[ -5   1  -1 ... -42 -21 -22],2
[   0    0    0 ...    0 -256    0],3
[ 5  7 -3 ...  6 -6 -1],6
[ -4   5  -6 ... -16   0  10],2
[  73 -125  -25 ...   94  111  181],4
[ 45  45 -33 ... -48 -43 -23],3
[312 319 315 ... 311 357 331],7
[19 15  3 ...  0 11 18],5
[ -7 -11  -6 ... -24 -16  -8],2
[  43   43   43 ...  -85  -77 -106],5
[-22 -25 -24 ...  18  10   7],2
[-317 -199 -303 ...  393  409  384],0
[334 378 406 ... 294 317 321],1
[ 2  2  3 ... -1 18 20],9
[ -2   6   4 ...  -2 -24 -11],1
[-11   0 -12 ...  -1   9  10],4
[-6  3  1 ...  9 -1 -3],2
[ 154  149 -220 ...   14    4  -35],4
[ 32 -10 -56 ...  67  34  84],1
[-677  566 -226 ... -421 -354 -313],2
[ 80  88 114 ... 144  99 -73],9
[  50  189  152 ... -109  -79 -129],3
[ 0 -1  1 ... 11 -3  3],8
[-512 -512 -768 ... -256 -512 -256],5
[ 4 -2  4 ... -8 -3 -8],0
[-10   0  10 ...   1   6   4],3
[ 0  3  3 ... -4  4 18],4
[ 23 -26  11 ...  10  -4  -7],3
[-176   95 -154 ... -157 -127 -156],6
[  9 -23  22 ... -24 -12 -11],7
[28 21  8 ...  7  2  6],2
[  9 133  13 ... 131  30  -8],1
[ -58    2  -63 ...  229 -252   -4],6
[25 15 16 ...  6  1 -5],4
[   0 -512 -512 ...    0 -256    0],7
[-11 -10  -5 ...  11  13  18],5
[-781    9  -62 ...  317  317  335],3
[-10  -9   3 ...  20  16 -19],6
[-4 -4  9 ... -9  6  5],5
[-5  2 -3 ...  0  9 13],2
[ -695  -788 -1957 ...   121  -248    77],6
[-22 -15  28 ...  21  61  25],5
[-194 -175 -146 ...   86  -21  161],8
[ -9 -26 -53 ... 118 179 202],2
[   0    0    0 ... -256    0    0],5
[-256 -512 -256 ...    0 -256    0],9
[  36   72   64 ... -104 -112  -97],5
[   0 -256    0 ... -256    0    0],9
[ 29 -37  41 ... -75  13 101],0
[-33  20 -23 ... -29 -25 -20],7
[   0 -256    0 ...    0    0 -256],1
[16 10  8 ...  7 11 11],5
[-312 -334 -298 ... -327 -339 -334],4
[  10  -16  -26 ...   -6  -85 -131],1
[-256    0 -512 ...    0 -256    0],7
[ 12  39 179 ...  83  68 114],0
[-20  42 -11 ... 133 128 106],3
[11 -3 12 ... -8  8 23],3
[ 2 -3  2 ...  1 11 13],2
[  256     0 -1024 ...  -256     0     0],2
[-3  1  2 ...  2 10 15],5
[-512 -512 -512 ...    0 -256    0],0
[ 25  10 -47 ...   7   9  45],1
[ -5 -18 -30 ...  24  13  18],1
[ 354  442  610 ... -312 -336 -333],0
[347 473 503 ... 138 228 318],5
[ 256  256  256 ... -256 -512 -256],0
[ 17 -17  10 ... -10 -12   7],5
[-348 -418 -431 ...  329  357  354],0
[ 28 -27  32 ...  -3 -37 -55],8
[  8  23 -35 ...  35  11   2],6
[  8  -9  -2 ...  -8  -6 -10],5
[ 43 -43  19 ...  47  36  46],7
[  3  -4   4 ... -11 -17   3],8
[ -5  -6  -2 ... -14 -10 -16],2
[ -73 -206 -175 ...  -85 -116 -110],4
[    0     0 -1024 ...     0     0     0],2
[   0    0    0 ... -256 -512 -256],0
[ 16  14  33 ... -65 -60 -41],0
[25 11 15 ... -8 16 10],0
[ -13 -132 -141 ... -119  -84  -23],5
[  -3 -125   85 ...   17   35  -13],6
[ 20  -1   0 ... -21  -3 -11],4
[  7  14   7 ... -10  -2   6],3
[ -5 -23 -23 ...  -4  -3  -3],4
[   0 -256 -256 ... -256 -512 -256],2
[ 0  1 -1 ... 13 11 10],2
[ 66 -60 -21 ...  29  19  21],6
[-34 -27  37 ... -19 -25 -53],1
[ 0 -4  4 ... 14 -4  6],4
[ -3 -17  -1 ...  -4   2   8],4
[-14 -11  -9 ... -24  18  -5],3
[  2  17  16 ... -27 -22 -43],1
[  27   58   70 ... -152 -102   -9],9
[ 10   4   8 ... -14  -9   1],9
[ 3  3  3 ... 64 72 72],4
[-3  2 -1 ...  1 -7  1],8
[-256 -512 -256 ...    0    0    0],1
[  -4  -93  -10 ...  -20  -64 -104],5
[-21 -16 -15 ... -19 -17 -19],9
[  73   94  131 ... -137 -106  -41],1
[-423  267 -186 ...  304  364  303],7
[ 6 -7  7 ... 18  7  8],7
[40  6  5 ... 61 53 46],7
[ -29  -39   39 ...  -34  -89 -122],2
[ 342 -250  248 ...  310  352  346],3
[ 1  1 -1 ...  3 -8 -5],5
[ 7 10 12 ...  5  3 -3],7
[ 36  25 -23 ... -24 -24 -12],3
[-117  197  -32 ...   55  103  117],7
[   0    0    0 ...    0  256 -256],7
[ -2  -3   3 ...  -3   1 -42],6
[-151   85 -105 ...   88  137  164],6
[ 12  15  11 ...   4 -21   1],1
[-414 -572 -505 ...  236  283  307],5
[-17 -21  -1 ... -88 -96 -84],2
[-256 -256 -512 ... -512    0    0],1
[-26  24 -14 ...   9  -1  -2],5
[ 1 -6 18 ... -5 -3 -4],6
[-256 -512    0 ... -512 -256 -512],7
[-10  21  -2 ...  -4   6 -31],8
[ -64  -29   15 ... -187 -183 -133],2
[-512 -512 -256 ... -256 -512 -256],8
[  4   6   3 ... -16 -14  -2],3
[-519 -299   27 ...   53  285  321],5
[ -8  -7 -14 ...   3  43  30],7
[-7 -3 -8 ...  1  0  5],7
[-1 25 31 ...  6 12 17],8
[  3   6 -19 ...   2   1 -16],0
[-10  -1  11 ... -21  17  11],6
[ 320  372  421 ... -234 -264 -302],0
[ 55  20  77 ...  21 -21   6],5
[-17  -8 -12 ...   0 -12 -15],0
[12 -3  8 ... -3 11 36],8
[ -1   4  -4 ...   6 -27 -10],4
[151 -55 114 ...  54 116 154],6
[-322  241 -759 ...  364  322  308],3
[ 5 19  7 ... -3 -2 -6],8
[ -3   6  20 ... -24 -31 -17],5
[-176  -29  115 ...  110   95  109],3
[ 18  19  16 ... -13  11  32],0
[ 1  2  0 ... 21  2  5],1
[  57  -84  -52 ...  -18 -165 -157],6
[-256 -256 -256 ... -512 -256 -512],9
[-256    0 -512 ... -256    0    0],7
[177 180 158 ...  22   8  29],9
[120 137 120 ...  92 101  94],8
[-256 -256 -256 ... -256 -256 -256],2
[ 14   6   7 ... -15 -10  -2],8
[169 -35  48 ...  63 139 177],6
[  6   4   6 ... -16  -3  -4],0
[   0 -256    0 ... -256 -512 -256],0
[ -1   0 -16 ...   3   5  -6],5
[ 32  52 104 ...  -3  -5 -13],7
[ 256  256    0 ... -512 -256 -512],1
[  4  20   8 ... -10 -24 -13],1
[-11  -2 -10 ...  -5  36  64],4
[   0 -256    0 ...    0 -512 -256],7
[ -8 -10  -9 ...  18   9   9],5
[-112 -117  -98 ...  186  167  155],0
[-25   2  11 ...  18   9  10],7
[-1 -2  0 ... 14 -5 -6],3
[-256 -256 -768 ... -256    0 -256],5
[   0    0    0 ... -512 -256 -512],4
[-14  -6  -2 ...   6  15   5],5
[  5  -4   0 ... -20 -24 -24],9
[-341 -163 -334 ...  357  389  319],3
[-20  -7 -20 ...  -9  -6  -5],2
[-256 -512 -256 ... -256 -512 -256],9
[ -2  -5  -3 ...  -6 -13  -7],9
[-645 -613 -346 ...  429  408  366],4
[  8   8   5 ... -11  -2   3],1
[ 12   0  28 ...  -7  38 -42],6
[-3 -2  3 ...  1  5 10],9
[ -4   2  -5 ...  -1 -12  -7],2
[  7  -1   1 ...   5  12 -11],2
[  7  11  12 ... -19 -15 -15],0
[ 512  512  512 ... -512 -256    0],0
[ 696 -357  -85 ...   18   12    3],6
[  6   9  11 ...   7  28 -49],8
[ 168  111   80 ...  -41 -112 -162],6
[-54 -53 -39 ...   4  11   8],4
[  6   5 -22 ... -66 -38 -43],3
[  5 -14  26 ... -36 -34 -33],7
[-311 -363 -318 ... -239 -305 -304],0
[ 469 -264  -64 ... -334 -353 -329],3
[156 -21 144 ... -18 111 182],6
[-304 -319 -377 ... -438 -457 -425],0
[ 8  6 -2 ...  0 -3 12],6
[-256    0 -512 ...    0 -256    0],4
[-11  -2   4 ...  69  63 105],2
[  2  -8   2 ... -13   1  16],1
[-29  -4 -14 ...  -7 -41 -35],4
[-174    1  -41 ...  -44  -70  -36],7
[ 64 -40  67 ... 172 165  78],1
[ 10   7   9 ... -17 -11 -11],0
[11 12 19 ... 18  3  1],6
[ 16   6   0 ... -11   3  -3],2
[-301 -331 -351 ... -274 -279 -305],1
[-2940  -760  3920 ...   -12   -30    66],6
[ 12 -58 -40 ...  -3  31  39],1
[ -44  -88 -117 ...   71  103  159],9
[12077  4250    15 ...   117    59    46],9
[-16  12   1 ...  16   4  21],9
[-326   74  179 ...  443  412  360],7
[62 72 90 ... 51 39 59],0
[-256    0 -512 ...    0 -256    0],8
[ -6 -10  -7 ... -12 -19 -24],7
[  7  14  10 ... -15 -11 -10],1
[-4 -7 -5 ... -3 -4 -1],5
[  4 -12  23 ...  11   8  19],1
[ 256    0  256 ... -256 -512 -256],0
[-109   86   68 ...    4  -15  -16],6
[   0    0    0 ... -512 -512 -768],1
[ 303  307  310 ... -213 -283 -310],4
[  1   1 -11 ...  18 -14 -36],5
[19 15  7 ... 23 22  6],6
[ 3 -4  2 ...  1 -3  8],2
[  7 -14   1 ...  -8  -2  -7],5
[ -50  -82 -110 ...  120   79   95],1
[304 343 356 ... 211 286 310],9
[-256 -256 -256 ... -256    0 -256],4
[-256 -512 -256 ... -256 -256 -512],9
[-9 -1 -1 ... -1 -3 -3],5
[  3  -6 -12 ... -21   6  21],6
[ 6  6  2 ... -8 -8 -8],3
[ -5 -11   0 ...   5 -12   1],0
[-11 -25  -9 ...   8   0   4],7
[-12 -40 -30 ...  -1 -18 -19],2
[ 304 -265  101 ...  319  323  339],2
[-1091  -424  -630 ...    19     6     6],9
[   0 -256    0 ... -256 -256 -512],9
[-743 -212 -159 ... -382 -303 -352],8
[ 31  -4  48 ...  -5 -34 -24],7
[ 2  1  0 ... -6 -3 -6],5
[ 20  24  31 ... 143  58 -30],0
[  5   6   3 ...  -3 -16  -4],5
[-321   61   47 ...  390  369  328],4
[-3  0  8 ... -2  0 -9],2
[-256 -256 -256 ... -256    0 -256],9
[-81  52 -86 ... -19  28 172],5
[ 19  32  19 ...  31   5 -33],4
[ 15 -12  10 ...  14  15  12],7
[14 -7 18 ...  4  9 -2],7
[-847  984   41 ... -114  -72  -48],6
[ -2   0  -5 ...  14 -37  -9],8
[-2  7 -4 ...  0  4  9],7
[  1 -17 -27 ...  52  45  47],9
[ 48 -37  36 ... -21 -33 -62],5
[158 170 187 ... 146 141 161],9
[-17 -14 -11 ...   6   2  -9],1
[-15 -17 -11 ... -30 -10 -14],9
[ -4  -8 -12 ...  -5  -5  -6],7
[-183   20  -12 ...  151 -127  165],6
[-438 -654  779 ...  353  268  310],2
[   0 -256 -256 ... -256 -512 -256],6
[-13 -14  -7 ... -30 -13 -15],9
[-256 -256    0 ... -512 -256 -256],6
[  0 -11  -5 ...   6   6   8],1
[-17 -52  43 ... -12  -7 -24],5
[-343  212    8 ...  286  302  303],7
[ 0  1 -5 ...  1  2  2],9
[-29   2  67 ... -37 -75 -67],7
[ 8 15 16 ...  0  2 -5],2
[   0 -256    0 ... -512 -256 -768],8
[-1  1 -1 ...  6  7 -2],2
[-170 -237 -309 ... -132 -160 -191],9
[-28 -25 -19 ...   5  12  12],1
[   0 -512 -256 ...    0 -512 -256],1
[ -3  15   5 ... -10   1 -14],8
[-322 -164 -160 ...   51  -85  311],8
[  5  13   4 ...  -1  -4 -11],0
[ 66  13  26 ... -24  63 -35],8
[  6   2   6 ... -12  -9  -5],9
[ -2  -8 -12 ... -21 -14  -3],0
[-1  1 -5 ...  1 -4  2],3
[-15  -2   4 ...  11  13   8],4
[ -3   3  -7 ...  17  -2 -18],1
[   0 -256 -256 ... -256 -256    0],4
[ 26 -25 -45 ...  12  43  16],4
[  82   21 -104 ... -177 -184 -155],3
[  6  38  29 ...  24  40 -30],5
[-18 -19 -18 ...  18  32  21],0
[  37 -161    7 ...   80   38   63],5
[-256  256    0 ... -256 -512 -256],7
[-35 105 -50 ...  -3   5  -4],0
[-24 -78  28 ... -17  -6 -13],8
[  24  -99   80 ...  120  120 -114],6
[ 8 12  8 ... 14  5  5],9
[ 319  293  229 ... -294 -309 -303],4
[  9 -49 -94 ...   1 -16  35],2
[ -8 -10 -13 ... -12  -5  -5],4
[-184 -108 -199 ...  -60  -94 -132],0
[  55   50   67 ...  -95  -88 -103],0
[-222  181 -116 ...  -18  107   31],6
[-548 -435   27 ... -307 -324 -301],3
[ 1 -1  9 ...  3  7  5],0
[  -8  178   83 ... -115 -111  -26],8
[ 49 173 213 ... -27  14 -31],4
[-10   7  -3 ...  -5  -1   3],0
[-3  0 12 ... 43 54 68],5
[-590 -185  380 ...  296  443  507],0
[-2  0 -1 ... 10 14 13],2
[-1 -6 -7 ... -5 -3 -2],5
[303 367 431 ... 279 294 317],9
[ -16  -98   78 ... -106 -110  -44],6
[ -73  -34 -107 ...  -87  -97 -102],3
[ -57   93 -190 ...   17   18   28],7
[-305   17  143 ... -256 -222 -320],5
[ 18 -10  12 ...  -7 -14  -2],3
[-361 -226 -238 ... -286 -311 -343],0
